📁 ИНФОРМАЦИЯ О КАТЕГОРИИ,,,,,
ID категории:,9071624,,,,
Название:,Театральные,,,,
URL:,/collection/teatralnye,,,,
Путь в иерархии:,Корневая категория,,,,
,,,,,
Маркерный запрос:,,,,,
Админка InSales:,https://myshop-on665.myinsales.ru/admin2/collections/9071624,,,,
,,,,,
,,,,,
,,,,,
🎯 SEO ДАННЫЕ,,,,,
SEO Title:,Театральные бинокли | Купить бинокль для театра недорого в интернет-магазине,,,,
Meta Description:,"Маленькие бинокли для театра и оперы. Доставка со склада из Москвы и СПБ с оплатой при получении, после проверки товара. ☎ 8 (800) 101-38-05",,,,
H1 заголовок:,Театральные бинокли,,,,
Ключевые слова:,,,,,
Описание категории:,"<h2>Бинокли для театра</h2>
<p>Театральные бинокли &mdash; компактные приборы с небольшим увеличением (обычно 3x&ndash;5x) и широким полем зрения. Они удобны для просмотра спектаклей, оперы и концертов, когда важно видеть всю сцену целиком. Лёгкая конструкция и элегантный дизайн делают их практичными и ненавязчивыми в использовании, а простая система фокусировки позволяет быстро навести резкость в темном зале.</p>
<p><a href=""https://binokl.shop/blogs/blog/kak-vybrat-binokl-po-kratnosti"" title=""Какой бинокль выбрать для театра?"">Какой бинокль выбрать для театра?</a></p>",,,,
,,,,,
,,,,,
📊 СТАТИСТИКА ТОВАРОВ,,,,,
Всего товаров:,67,,,,
В наличии:,25,,,,
Нет в наличии:,42,,,,
Процент наличия:,0.37,,,,
,,,,,
,,,,,
🛒 ТЕКУЩИЕ ТОВАРЫ В КАТЕГОРИИ,,,,,
Название,Артикул,Цена,В наличии,ID,☑️
Бинокль театральный Bresser Scala 3x27 CB,64656,7520.0,Нет,110135742,false
Бинокль театральный Bresser Scala 3x27 GB,64657,7290.0,Нет,110135743,false
Бинокль Veber БГЦ 3x25 E03 белый лорнет,10986,3690.0,Да,110466207,false
Бинокль Veber БГЦ 3x25 E08 красный лорнет,10987,3690.0,Да,110466208,false
Бинокль Veber БГЦ 3x25 E09 черный лорнет,10988,3690.0,Да,110466209,false
Бинокль театральный Veber БГЦ 3x25 B01 белый с фокусировкой,10991,3100.0,Да,110466211,false
"Бинокль Veber БГЦ 3x25 B10, черный",10992,3100.0,Да,110466212,false
Бинокль Veber БГЦ 3x25 B24 красный с фокусировкой,10993,3100.0,Да,110466213,false
Бинокль Veber БГЦ 4x30 А01 вишня/золото с фокусировкой,19823,3280.0,Нет,110466214,false
Бинокль Veber БГЦ 4x30 А02  белый/серебро с фокусировкой,25920,3280.0,Нет,110466218,false
Бинокль Veber БГЦ 4x30 А02  серебро/серебро с фокусировкой,19826,2960.0,Нет,110466219,false
Бинокль Veber БГЦ 4x30 А03  шампань/золото с фокусировкой,19825,3660.0,Нет,110466220,false
"Театральный бинокль Veber БГЦ 3x25 D01, белый с цепочкой",10995,3190.0,Да,110466221,false
Театральный бинокль Veber БГЦ 3x25 D02 (черный с цепочкой),10996,3190.0,Да,110466223,false
Театральный бинокль Veber БГЦ 3x25 D07 (красный с цепочкой),10997,3190.0,Да,110466224,false
Бинокль театральный Veber Opera mini 4x10,25647,2300.0,Нет,110466225,false
Бинокль театральный Veber Opera mini 5x12 Red,25646,2350.0,Нет,110466226,false
Бинокль театральный Veber Prima 5x20 Pearl,26151,5170.0,Нет,175832137,false
Бинокль Veber Prima 5x20 Cherry театральный,26150,6140.0,Нет,175871897,false
Бинокль театральный Veber Prima 5x20 Sky,26149,6760.0,Нет,175871898,false
Бинокль театральный Eschenbach Viva 6x15 White,70487,9840.0,Нет,182223063,false
Бинокль театральный Eschenbach Viva 6x15 Black,70486,9580.0,Нет,182223068,false
Бинокль театральный Eschenbach Glamour 3x25 White,70483,13780.0,Нет,182223070,false
Бинокль театральный Eschenbach Glamour 3x25 Red,70482,13780.0,Нет,182223071,false
Бинокль театральный Eschenbach Glamour 3x25 Gold,70484,13780.0,Нет,182223072,false
Бинокль театральный Eschenbach Glamour 3x25 Blue,70481,13780.0,Нет,182223073,false
"Бинокль театральный Eschenbach Glamour 3x25 Black, с цепочкой",70485,12360.0,Нет,182223075,false
Бинокль театральный Eschenbach Collezione La Scala 3x18 White,70479,12590.0,Нет,182223076,false
Бинокль театральный Eschenbach Collezione La Scala 3x18 Gold,70480,12590.0,Нет,182223079,false
Бинокль театральный Eschenbach Collezione La Scala 3x18 Black,70478,12590.0,Нет,182223080,false
Бинокль Eschenbach Vision 6x18,74955,10460.0,Нет,182223082,false
Бинокль театральный KENKO Pliant 3x25 SLIM Silver,8260,800.0,Нет,194113315,false
Бинокль театральный KENKO Pliant 3x25 SLIM Blue,8261,800.0,Нет,194113322,false
Бинокль театральный KENKO 8x18 Miyabi,8134,11250.0,Нет,194113324,false
Бинокль театральный Sturman 5x12 шампань,6066,2460.0,Нет,195587424,false
Бинокль театральный Sturman 5x12 чёрный,6062,2700.0,Нет,195587438,false
Бинокль театральный Sturman 5x12 серебристый,6064,3290.0,Нет,195587439,false
Бинокль театральный Sturman 4x10 шампань,6065,2560.0,Нет,195587440,false
Бинокль театральный Sturman 4x10 серебристый,6063,2560.0,Нет,195587441,false
Бинокль театральный Sturman 4x10 черный,6061,2600.0,Нет,195587442,false
"Бинокль театральный Kromatech БТ 3x25, с цепочкой (белый)",70036,2290.0,Да,197918136,false
"Бинокль театральный Kromatech БТ 3x25, с цепочкой (золотистый)",69521,2390.0,Да,197918139,false
"Бинокль театральный Kromatech БТ 3x25, с цепочкой (красный)",70037,2590.0,Да,197918143,false
"Бинокль театральный Kromatech БТ 3x25, с цепочкой (черный)",69522,2090.0,Да,197918147,false
Бинокль Norbert Standard 20x60,75137,6690.0,Нет,197918242,false
"Бинокль театральный La Geer 3x25 (098703), алый",59975,1780.0,Нет,197918463,false
"Бинокль театральный La Geer 3x25 (098701), черный",59992,1780.0,Нет,197918471,false
"Бинокль театральный La Geer 3x25 (098704), красный с черными вкраплениями",59989,1780.0,Нет,197918488,false
"Бинокль театральный La Geer 3x25 (098707), фиолетовый",59986,1780.0,Нет,197918512,false
"Бинокль театральный La Geer 3x25 (098709), кирпичный",59987,1780.0,Нет,197918528,false
"Бинокль театральный La Geer 3x25 (098710), кирпично-красный лорнет",59983,1780.0,Нет,197918540,false
"Бинокль театральный La Geer 3x25 (098712), черный лорнет",59990,1780.0,Нет,197918551,false
"Бинокль театральный La Geer 3x25 (098714), серебристый лорнет",59994,1780.0,Нет,197918569,false
Театральный бинокль Konus 3x25 Black,76617,4153.0,Нет,230796122,false
Бинокль Eschenbach Vision 4x18,74954,9410.0,Нет,300587220,false
"Бинокль «Зенит 70 лет» 2x25, портативный складной",76081,650.0,Да,317809716,false
"Бинокль «Зенит» 2x25, портативный складной",76082,600.0,Да,317809717,false
"Театральный бинокль Levenhuk Broadway 325B, золотистый",81857,5490.0,Да,361420344,false
"Театральный бинокль Levenhuk Broadway 325B, серебристый",81859,5490.0,Да,361505116,false
"Театральный бинокль Levenhuk Broadway 325B, красный",81858,5490.0,Да,361505122,false
"Театральный бинокль Levenhuk Broadway 325B, черный",81860,5490.0,Да,361505127,false
"Театральный бинокль Levenhuk Broadway 325B, белый",81856,5490.0,Да,361505132,false
"Театральный бинокль-лорнет Levenhuk Broadway 325E, черный",81864,5990.0,Да,361505137,false
